CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits,GroupID
48,NC1=CC=C(C=N1)C(=O)NC1=CC=CC(=C1)C1=NC(N2CCOCC2)=C2OC3=NC=CC=C3C2=N1,467.49,C25H21N7O3,NCGC00346683-02,NCATS,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-01,CHEMBL2178735,CHEMBL2178735",32
2740,NC1=CC=C(C=N1)C(=O)NC1=CC=CC(=C1)C1=NC(N2CCOCC2)=C2OC3=NC=CC=C3C2=N1,467.49,C25H21N7O3,NCGC00346683-02,NCATS,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-01,CHEMBL2178735,CHEMBL2178735",32
2853,NC1=CC=C(C=N1)C(=O)NC1=CC=CC(=C1)C1=NC(N2CCOCC2)=C2OC3=NC=CC=C3C2=N1,467.49,C25H21N7O3,NCGC00346683-02,NCATS,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-01,CHEMBL2178735,CHEMBL2178735",32
12633,COC1=CC=C(C=N1)C1=NC2=C(SC(CN(C)C3=NC=C(C=N3)C(=O)NO)=C2)C(=N1)N1CCOCC1,508.56,C23H24N8O4S,NCGC00346692-01,NCATS,1,NCGC00346692-04,33
49,COC1=CC=C(C=N1)C1=NC2=C(SC(CN(C)C3=NC=C(C=N3)C(=O)NO)=C2)C(=N1)N1CCOCC1,508.56,C23H24N8O4S,NCGC00346692-04,NCATS,1,NCGC00346692-01,33
12634,CCN1C[C@H](C)N2C(=C(O)C3=C2C(=NN(CC2=CC=C(F)C(Cl)=C2)C3=O)C(=O)NC)C1=O,461.88,C21H21ClFN5O4,NCGC00346694-01,NCATS,3,"NCGC00346694-03,NCGC00346694-02,NCGC00346694-04",34
6329,CCN1C[C@H](C)N2C(=C(O)C3=C2C(=NN(CC2=CC=C(F)C(Cl)=C2)C3=O)C(=O)NC)C1=O,461.88,C21H21ClFN5O4,NCGC00346694-02,NCATS,3,"NCGC00346694-03,NCGC00346694-04,NCGC00346694-01",34
50,CCN1C[C@H](C)N2C(=C(O)C3=C2C(=NN(CC2=CC=C(F)C(Cl)=C2)C3=O)C(=O)NC)C1=O,461.88,C21H21ClFN5O4,NCGC00346694-03,NCATS,3,"NCGC00346694-02,NCGC00346694-04,NCGC00346694-01",34
6330,CCN1C[C@H](C)N2C(=C(O)C3=C2C(=NN(CC2=CC=C(F)C(Cl)=C2)C3=O)C(=O)NC)C1=O,461.88,C21H21ClFN5O4,NCGC00346694-04,NCATS,3,"NCGC00346694-03,NCGC00346694-02,NCGC00346694-01",34
51,COC(=O)CCC1=C(C)C2=CC3=NC(=CC4=C(C)C(C=C)=C(N4)C=C4N=C(C=C1N2)C(CCC(O)=O)=C4C)C1=CC=C([C@@H](C(=O)OC)[C@@]31C)C(=O)OC,718.81,C41H42N4O8,NCGC00346712-02,NCATS,1,NCGC00346712-07,35
2453,COC(=O)CCC1=C(C)C2=CC3=NC(=CC4=C(C)C(C=C)=C(N4)C=C4N=C(C=C1N2)C(CCC(O)=O)=C4C)C1=CC=C([C@@H](C(=O)OC)[C@@]31C)C(=O)OC,718.81,C41H42N4O8,NCGC00346712-07,NCATS,1,NCGC00346712-02,35
12693,CC(=O)O\\N=C1\\C(\\NC2=CC=CC=C\\12)=C1/C(=O)NC2=C1C=CC(Br)=C2,398.22,C18H12BrN3O3,NCGC00346883-01,NCATS,3,"NCGC00346883-02,NCGC00346883-02,NCGC00346883-02",36
53,CC(=O)O\\N=C1\\C(\\NC2=CC=CC=C\\12)=C1/C(=O)NC2=C1C=CC(Br)=C2,398.22,C18H12BrN3O3,NCGC00346883-02,NCATS,3,"NCGC00346883-02,NCGC00346883-02,NCGC00346883-01",36
